"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27","11","100nF","","","","TinkerForge:0603",""
"C73","1","0.1uF","","","","TinkerForge:0603",""
"C74,C75","2","0.1uF","","","Excluded from board","TinkerForge:0603",""
"FPC3,FPC4","2","527460471","","","Excluded from board","FrameworkG-easyedapro:FPC-SMD_4P-P0.50_MOLEX_0527460471","https://www.molex.com/content/dam/molex/molex-dot-com/products/automated/en-us/salesdrawingpdf/527/52746/527460471_sd.pdf?inline\"
"J1","1","MXM3.0","","","","AS0B821-S55B-7H:FOXCONN_AS0B826-S55B-7H","~"
"L1","1","10uH","","","Excluded from board","TinkerForge:0603",""
"R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16","16","220nF","","","","TinkerForge:0603","~"
"R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R55,R56,R59,R60,R61,R62,R63,R64","29","0","","","","TinkerForge:0603",""
"R49,R54","2","10K","","","","TinkerForge:0603",""
"R50,R51","2","4.7K","","","","TinkerForge:0603",""
"R52","1","100K","","","","TinkerForge:0603",""
"R53","1","10K/0","","","","TinkerForge:0603",""
"R57,R58","2","330K","","","","TinkerForge:0603",""
"TP2,TP3,TP4,TP5,TP6,TP7,TP8,TP9,TP10,TP12,TP13,TP14,TP15,TP16,TP17,TP18,TP19,TP20,TP21,TP22,TP23,TP24,TP25,TP26,TP27,TP28,TP29,TP30,TP31,TP32,TP33,TP34,TP35,TP36,TP37,TP38,TP39,TP40,TP41,TP42,TP43,TP44,TP45,TP46,TP47,TP48,TP49,TP50,TP51,TP52,TP53","51","TestPoint","","","","TestPoint:TestPoint_Pad_D3.0mm","~"
"U2","1","FXBeam","","","","FXBeam:Expansion Bay FXBeam",""
"U54","1","BR24G32FVT-3GE2","","","","BR24G32FVT-3GE2:SOP65P640X120-8N","https://atta.szlcsc.com/upload/public/pdf/source/20211207/04F260C112D11C6089B8D1D4B01C0AA6.pdf"
