Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C13, C14, C15, C16, C2, C3, C4, C5, C6, C7, C8, C9",0603,16,220nF,
"C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27",0603,11,100nF,
C73,0603,1,0.1uF,
J1,FOXCONN_AS0B826-S55B-7H,1,MXM3.0,
"R17, R18, R19, R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R30, R31, R32, R33, R34, R35, R36, R37, R55, R56, R59, R60, R61, R62, R63, R64",0603,29,0,
"R49, R54",0603,2,10K,
"R50, R51",0603,2,4.7K,
R52,0603,1,100K,
R53,0603,1,10K/0,
"R57, R58",0603,2,330K,
"TP10, TP12, TP13, TP14, TP15, TP16, TP17, TP18, TP19, TP2, TP20, TP21, TP22, TP23, TP24, TP25, TP26, TP27, TP28, TP29, TP3, TP30, TP31, TP32, TP33, TP34, TP35, TP36, TP37, TP38, TP39, TP4, TP40, TP41, TP42, TP43, TP44, TP45, TP46, TP47, TP48, TP49, TP5, TP50, TP51, TP52, TP53, TP6, TP7, TP8, TP9",TestPoint_Pad_D3.0mm,51,TestPoint,
U2,Expansion Bay FXBeam,1,FXBeam,
U54,SOP65P640X120-8N,1,BR24G32FVT-3GE2,
